,title,description_alert,link,published,alert_title,cve_id,description_cve,cvss_score,cwe,cwe_desc,epss_score,vendor,product,versions
0,[MàJ] Vulnérabilité dans Zimbra Collaboration Suite (17 juillet 2023),"\[Mise à jour du 26 juillet 2023\] Publication du correctif de sécurité par l'éditeur Le 26 juillet 2023, l'éditeur a publié un correctif de sécurité \[1\] pour cette vulnérabilité immatriculée CVE-2023-37580. Il est donc fortement recommandé de déployer le correctif P41 pour toutes les versions...",https://www.cert.ssi.gouv.fr/alerte/CERTFR-2023-ALE-007/,"Mon, 17 Jul 2023 00:00:00 +0000",[MàJ] Vulnérabilité dans Zimbra Collaboration Suite (17 juillet 2023),CVE-2023-37580,Zimbra Collaboration (ZCS) 8 before 8.8.15 Patch 41 allows XSS in the Zimbra Classic Web Client.,Non disponible,Non disponible,,0.93918,n/a,n/a,['n/a']
1,[MàJ] Vulnérabilité dans Citrix NetScaler ADC et NetScaler Gateway (19 juillet 2023),"Le 18 juillet 2023, Citrix a publié un avis de sécurité concernant plusieurs vulnérabilités. La plus critique, dont l'identifiant CVE est CVE-2023-3519, permet à un attaquant non authentifié d'exécuter du code arbitraire à distance. L'équipement est vulnérable s'il est configuré en tant que...",https://www.cert.ssi.gouv.fr/alerte/CERTFR-2023-ALE-008/,"Wed, 19 Jul 2023 00:00:00 +0000",[MàJ] Vulnérabilité dans Citrix NetScaler ADC et NetScaler Gateway (19 juillet 2023),CVE-2023-3519,Unauthenticated remote code execution,9.8,CWE-94,CWE-94 Improper Control of Generation of Code ('Code Injection'),0.93363,Citrix,NetScaler ADC,"['13.1', '13.0', '13.1-FIPS', '12.1-FIPS', '12.1-NDcPP']"
2,[MàJ] Vulnérabilité dans Citrix NetScaler ADC et NetScaler Gateway (19 juillet 2023),"Le 18 juillet 2023, Citrix a publié un avis de sécurité concernant plusieurs vulnérabilités. La plus critique, dont l'identifiant CVE est CVE-2023-3519, permet à un attaquant non authentifié d'exécuter du code arbitraire à distance. L'équipement est vulnérable s'il est configuré en tant que...",https://www.cert.ssi.gouv.fr/alerte/CERTFR-2023-ALE-008/,"Wed, 19 Jul 2023 00:00:00 +0000",[MàJ] Vulnérabilité dans Citrix NetScaler ADC et NetScaler Gateway (19 juillet 2023),CVE-2023-3519,Unauthenticated remote code execution,9.8,CWE-94,CWE-94 Improper Control of Generation of Code ('Code Injection'),0.93363,Citrix,NetScaler Gateway,"['13.1', '13.0']"
3,Multiples vulnérabilités dans Exim (02 octobre 2023),"Le 27 septembre 2023, Zero Day Initiative (ZDI) a publié six avis de sécurité \[1\] concernant des vulnérabilités de type zéro-jour affectant les versions antérieures à 4.96.1 ou 4.97 de l'agent de transfert de courriels (*Mail Transfer Agent* ou *MTA*) Exim. Le 1er octobre 2023, l'éditeur a...",https://www.cert.ssi.gouv.fr/alerte/CERTFR-2023-ALE-010/,"Mon, 02 Oct 2023 00:00:00 +0000",Multiples vulnérabilités dans Exim (02 octobre 2023),CVE-2023-42117,"Exim Improper Neutralization of Special Elements Remote Code Execution Vulnerability. This vulnerability allows remote attackers to execute arbitrary code on affected installations of Exim. Authentication is not required to exploit this vulnerability.

The specific flaw exists within the smtp service, which listens on TCP port 25 by default. The issue results from the lack of proper validation of user-supplied data, which can result in a memory corruption condition. An attacker can leverage this vulnerability to execute code in the context of the current process. Was ZDI-CAN-17554.",8.1,CWE-138,CWE-138: Improper Neutralization of Special Elements,0.0735,Exim,Exim,['4.96-RC1-11-315206fbf']
4,Multiples vulnérabilités dans Exim (02 octobre 2023),"Le 27 septembre 2023, Zero Day Initiative (ZDI) a publié six avis de sécurité \[1\] concernant des vulnérabilités de type zéro-jour affectant les versions antérieures à 4.96.1 ou 4.97 de l'agent de transfert de courriels (*Mail Transfer Agent* ou *MTA*) Exim. Le 1er octobre 2023, l'éditeur a...",https://www.cert.ssi.gouv.fr/alerte/CERTFR-2023-ALE-010/,"Mon, 02 Oct 2023 00:00:00 +0000",Multiples vulnérabilités dans Exim (02 octobre 2023),CVE-2023-42115,"Exim AUTH Out-Of-Bounds Write Remote Code Execution Vulnerability. This vulnerability allows remote attackers to execute arbitrary code on affected installations of Exim. Authentication is not required to exploit this vulnerability. 

The specific flaw exists within the smtp service, which listens on TCP port 25 by default. The issue results from the lack of proper validation of user-supplied data, which can result in a write past the end of a buffer. An attacker can leverage this vulnerability to execute code in the context of the service account.
. Was ZDI-CAN-17434.",9.8,CWE-787,CWE-787: Out-of-bounds Write,0.65812,Exim,Exim,['exim 4.95']
5,Multiples vulnérabilités dans Exim (02 octobre 2023),"Le 27 septembre 2023, Zero Day Initiative (ZDI) a publié six avis de sécurité \[1\] concernant des vulnérabilités de type zéro-jour affectant les versions antérieures à 4.96.1 ou 4.97 de l'agent de transfert de courriels (*Mail Transfer Agent* ou *MTA*) Exim. Le 1er octobre 2023, l'éditeur a...",https://www.cert.ssi.gouv.fr/alerte/CERTFR-2023-ALE-010/,"Mon, 02 Oct 2023 00:00:00 +0000",Multiples vulnérabilités dans Exim (02 octobre 2023),CVE-2023-42116,"Exim SMTP Challenge Stack-based Buffer Overflow Remote Code Execution Vulnerability. This vulnerability allows remote attackers to execute arbitrary code on affected installations of Exim. Authentication is not required to exploit this vulnerability.

The specific flaw exists within the handling of NTLM challenge requests. The issue results from the lack of proper validation of the length of user-supplied data prior to copying it to a fixed-length stack-based buffer. An attacker can leverage this vulnerability to execute code in the context of the service account.
. Was ZDI-CAN-17515.",8.1,CWE-121,CWE-121: Stack-based Buffer Overflow,0.06734,Exim,Exim,['exim 4.95']
6,Multiples vulnérabilités dans Exim (02 octobre 2023),"Le 27 septembre 2023, Zero Day Initiative (ZDI) a publié six avis de sécurité \[1\] concernant des vulnérabilités de type zéro-jour affectant les versions antérieures à 4.96.1 ou 4.97 de l'agent de transfert de courriels (*Mail Transfer Agent* ou *MTA*) Exim. Le 1er octobre 2023, l'éditeur a...",https://www.cert.ssi.gouv.fr/alerte/CERTFR-2023-ALE-010/,"Mon, 02 Oct 2023 00:00:00 +0000",Multiples vulnérabilités dans Exim (02 octobre 2023),CVE-2023-42119,"Exim dnsdb Out-Of-Bounds Read Information Disclosure Vulnerability. This vulnerability allows network-adjacent attackers to disclose sensitive information on affected installations of Exim. Authentication is not required to exploit this vulnerability.

The specific flaw exists within the smtp service, which listens on TCP port 25 by default. The issue results from the lack of proper validation of user-supplied data, which can result in a read past the end of an allocated buffer. An attacker can leverage this in conjunction with other vulnerabilities to execute arbitrary code in the context of the service account.
. Was ZDI-CAN-17643.",3.1,CWE-125,CWE-125: Out-of-bounds Read,0.00731,Exim,Exim,['exim 4.96-RC0-14-24b8ed847-XX']
7,Multiples vulnérabilités dans Exim (02 octobre 2023),"Le 27 septembre 2023, Zero Day Initiative (ZDI) a publié six avis de sécurité \[1\] concernant des vulnérabilités de type zéro-jour affectant les versions antérieures à 4.96.1 ou 4.97 de l'agent de transfert de courriels (*Mail Transfer Agent* ou *MTA*) Exim. Le 1er octobre 2023, l'éditeur a...",https://www.cert.ssi.gouv.fr/alerte/CERTFR-2023-ALE-010/,"Mon, 02 Oct 2023 00:00:00 +0000",Multiples vulnérabilités dans Exim (02 octobre 2023),CVE-2023-42114,"Exim NTLM Challenge Out-Of-Bounds Read Information Disclosure Vulnerability. This vulnerability allows remote attackers to disclose sensitive information on affected installations of Exim. Authentication is not required to exploit this vulnerability.

The specific flaw exists within the handling of NTLM challenge requests. The issue results from the lack of proper validation of user-supplied data, which can result in a read past the end of an allocated data structure. An attacker can leverage this vulnerability to disclose information in the context of the service account.
. Was ZDI-CAN-17433.",3.7,CWE-125,CWE-125: Out-of-bounds Read,0.13895,Exim,Exim,['exim 4.95']
8,Multiples vulnérabilités dans Exim (02 octobre 2023),"Le 27 septembre 2023, Zero Day Initiative (ZDI) a publié six avis de sécurité \[1\] concernant des vulnérabilités de type zéro-jour affectant les versions antérieures à 4.96.1 ou 4.97 de l'agent de transfert de courriels (*Mail Transfer Agent* ou *MTA*) Exim. Le 1er octobre 2023, l'éditeur a...",https://www.cert.ssi.gouv.fr/alerte/CERTFR-2023-ALE-010/,"Mon, 02 Oct 2023 00:00:00 +0000",Multiples vulnérabilités dans Exim (02 octobre 2023),CVE-2023-42118,"Exim libspf2 Integer Underflow Remote Code Execution Vulnerability. This vulnerability allows network-adjacent attackers to execute arbitrary code on affected installations of Exim libspf2. Authentication is not required to exploit this vulnerability. 

The specific flaw exists within the parsing of SPF macros. When parsing SPF macros, the process does not properly validate user-supplied data, which can result in an integer underflow before writing to memory. An attacker can leverage this vulnerability to execute code in the context of the service account.
. Was ZDI-CAN-17578.",7.5,CWE-191,CWE-191: Integer Underflow (Wrap or Wraparound),0.03014,Exim,libspf2,['exim 4.96-RC0-14-24b8ed847-XX']
9,[MàJ] Multiples vulnérabilités dans Cisco IOS XE (17 octobre 2023),\[Mise à jour du 02 novembre 2023\] La version 17.3.8a est disponible. \[Mise à jour du 31 octobre 2023\] Les détails techniques de la vulnérabilité CVE-2023-20198 sont désormais disponibles publiquement. Cette vulnérabilité était déjà massivement exploitée. Tous les équipements exposant...,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2023-ALE-011/,"Tue, 17 Oct 2023 00:00:00 +0000",[MàJ] Multiples vulnérabilités dans Cisco IOS XE (17 octobre 2023),CVE-2023-20273,"A vulnerability in the web UI feature of Cisco IOS XE Software could allow an authenticated, remote attacker to inject commands with the privileges of root. This vulnerability is due to insufficient input validation. An attacker could exploit this vulnerability by sending crafted input to the web UI. A successful exploit could allow the attacker to inject commands to the underlying operating system with root privileges.",7.2,CWE-78,Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection'),0.92615,Cisco,Cisco IOS XE Software,"['16.1.1', '16.1.2', '16.1.3', '16.2.1', '16.2.2', '16.3.1', '16.3.2', '16.3.3', '16.3.1a', '16.3.4', '16.3.5', '16.3.5b', '16.3.6', '16.3.7', '16.3.8', '16.3.9', '16.3.10', '16.3.11', '16.4.1', '16.4.2', '16.4.3', '16.5.1', '16.5.1a', '16.5.1b', '16.5.2', '16.5.3', '16.6.1', '16.6.2', '16.6.3', '16.6.4', '16.6.5', '16.6.4a', '16.6.5a', '16.6.6', '16.6.7', '16.6.8', '16.6.9', '16.6.10', '16.7.1', '16.7.1a', '16.7.1b', '16.7.2', '16.7.3', '16.7.4', '16.8.1', '16.8.1a', '16.8.1b', '16.8.1s', '16.8.1c', '16.8.1d', '16.8.2', '16.8.1e', '16.8.3', '16.9.1', '16.9.2', '16.9.1a', '16.9.1b', '16.9.1s', '16.9.3', '16.9.4', '16.9.3a', '16.9.5', '16.9.5f', '16.9.6', '16.9.7', '16.9.8', '16.10.1', '16.10.1a', '16.10.1b', '16.10.1s', '16.10.1c', '16.10.1e', '16.10.1d', '16.10.2', '16.10.1f', '16.10.1g', '16.10.3', '16.11.1', '16.11.1a', '16.11.1b', '16.11.2', '16.11.1s', '16.12.1', '16.12.1s', '16.12.1a', '16.12.1c', '16.12.1w', '16.12.2', '16.12.1y', '16.12.2a', '16.12.3', '16.12.8', '16.12.2s', '16.12.1x', '16.12.1t', '16.12.4', '16.12.3s', '16.12.3a', '16.12.4a', '16.12.5', '16.12.6', '16.12.1z1', '16.12.5a', '16.12.5b', '16.12.1z2', '16.12.6a', '16.12.7', '16.12.9', '16.12.10', '17.1.1', '17.1.1a', '17.1.1s', '17.1.1t', '17.1.3', '17.2.1', '17.2.1r', '17.2.1a', '17.2.1v', '17.2.2', '17.2.3', '17.3.1', '17.3.2', '17.3.3', '17.3.1a', '17.3.1w', '17.3.2a', '17.3.1x', '17.3.1z', '17.3.4', '17.3.5', '17.3.4a', '17.3.6', '17.3.4b', '17.3.4c', '17.3.5a', '17.3.5b', '17.3.7', '17.3.8', '17.4.1', '17.4.2', '17.4.1a', '17.4.1b', '17.4.2a', '17.5.1', '17.5.1a', '17.5.1b', '17.5.1c', '17.6.1', '17.6.2', '17.6.1w', '17.6.1a', '17.6.1x', '17.6.3', '17.6.1y', '17.6.1z', '17.6.3a', '17.6.4', '17.6.1z1', '17.6.5', '17.6.6', '17.7.1', '17.7.1a', '17.7.1b', '17.7.2', '17.10.1', '17.10.1a', '17.10.1b', '17.8.1', '17.8.1a', '17.9.1', '17.9.1w', '17.9.2', '17.9.1a', '17.9.1x', '17.9.1y', '17.9.3', '17.9.2a', '17.9.1x1', '17.9.3a', '17.9.4', '17.9.1y1', '17.11.1', '17.11.1a', '17.12.1', '17.12.1a', '17.11.99SW']"
