,title,description_alert,link,published,alert_title,cve_id,description_cve,cvss_score,cwe,cwe_desc,epss_score,vendor,product,versions
0,Vulnérabilité dans Cisco Catalyst SD-WAN (05 juin 2026),Une vulnérabilité a été découverte dans Cisco Catalyst SD-WAN. Elle permet à un attaquant de provoquer une élévation de privilèges. Cisco indique que la vulnérabilité CVE-2026-20245 est activement exploitée.,https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0699/,"Fri, 05 Jun 2026 00:00:00 +0000",Vulnérabilité dans Cisco Catalyst SD-WAN (05 juin 2026),CVE-2026-20245,"A vulnerability in the CLI of Cisco Catalyst SD-WAN Controller, formerly SD-WAN vSmart, Cisco Catalyst SD-WAN Manager, formerly SD-WAN vManage, and Cisco Catalyst SD-WAN Validator, formerly SD-WAN vBond, could allow an authenticated, local attacker to execute arbitrary commands as root by supplying a crafted file to the affected system.

This vulnerability is due to insufficient validation of user-supplied input. An attacker could exploit this vulnerability by uploading a crafted file to the affected system. A successful exploit could allow the attacker to perform command injection attacks on an affected system and elevate their privileges as the root user.&nbsp;
To exploit this vulnerability, the attacker must have netadmin privileges on the affected system. This would require valid credentials or exploitation of  or . Cisco is not aware of successful exploitation by other methods. Cisco has observed limited cases where the exploitation of this bug resulted in a configuration change pushed to edge devices.
Cisco recommends that customers upgrade to the fixed software that is documented in the  that was published on May 14, 2026, and verify the configuration of the edge devices.",7.8,CWE-116,Improper Encoding or Escaping of Output,0.00356,Cisco,Cisco Catalyst SD-WAN Manager,"['20.1.12', '19.2.1', '18.4.4', '18.4.5', '20.1.1.1', '20.1.1', '19.3.0', '19.2.2', '19.2.099', '18.3.6', '18.3.7', '19.2.0', '18.3.8', '19.0.0', '19.1.0', '18.4.302', '18.4.303', '19.2.097', '19.2.098', '17.2.10', '18.3.6.1', '19.0.1a', '18.2.0', '18.4.3', '18.4.1', '17.2.8', '18.3.3.1', '18.4.0', '18.3.1', '17.2.6', '17.2.9', '18.3.4', '17.2.5', '18.3.1.1', '18.3.5', '18.4.0.1', '18.3.3', '17.2.7', '17.2.4', '18.3.0', '19.2.3', '18.4.501_ES', '20.3.1', '20.1.2', '19.2.929', '19.2.31', '20.3.2', '19.2.32', '20.3.2_925', '20.3.2.1', '20.3.2.1_927', '18.4.6', '20.1.2_937', '20.4.1', '20.3.2_928', '20.3.2_929', '20.4.1.0.1', '20.3.2.1_930', '19.2.4', '20.5.0.1.1', '20.4.1.1', '20.3.3', '19.2.4.0.1', '20.3.2_937', '20.3.3.1', '20.5.1', '20.1.3', '20.3.3.0.4', '20.3.3.1.2', '20.3.3.1.1', '20.4.1.2', '20.3.3.0.2', '20.4.1.1.5', '20.4.1.0.01', '20.4.1.0.02', '20.3.3.1.7', '20.3.3.1.5', '20.5.1.0.1', '20.3.3.1.10', '20.3.3.0.8', '20.4.2', '20.4.2.0.1', '20.3.4', '20.3.3.0.14', '19.2.4.0.8', '19.2.4.0.9', '20.3.4.0.1', '20.3.2.0.5', '20.6.1', '20.5.1.0.2', '20.3.3.0.17', '20.6.1.1', '20.6.0.18.3', '20.3.2.0.6', '20.6.0.18.4', '20.4.2.0.2', '20.3.3.0.16', '20.3.4.0.5', '20.6.1.0.1', '20.3.4.0.6', '20.6.2', '20.7.1EFT2', '20.3.4.0.9', '20.3.4.0.11', '20.4.2.0.4', '20.3.3.0.18', '20.7.1', '20.6.2.1', '20.3.4.1', '20.5.1.1', '20.4.2.1', '20.4.2.1.1', '20.3.4.1.1', '20.3.813', '20.3.4.0.19', '20.4.2.2.1', '20.5.1.2', '20.3.4.2', '20.3.814', '20.4.2.2', '20.6.2.2', '20.3.4.2.1', '20.7.1.1', '20.3.4.1.2', '20.6.2.2.2', '20.3.4.0.20', '20.6.2.2.3', '20.4.2.2.2', '20.3.5', '20.6.2.0.4', '20.4.2.2.3', '20.3.4.0.24', '20.6.2.2.7', '20.6.3', '20.3.4.2.2', '20.4.2.2.4', '20.7.1.0.2', '20.8.1', '20.3.5.0.8', '20.3.5.0.9', '20.4.2.2.8', '20.3.5.0.7', '20.6.3.0.7', '20.6.3.0.5', '20.6.3.0.10', '20.6.3.0.2', '20.7.2', '20.9.1EFT2', '20.6.3.0.11', '20.6.3.1', '20.6.3.0.14', '20.6.4', '20.9.1', '20.6.3.0.19', '20.6.3.0.18', '20.3.6', '20.9.1.1', '20.6.3.0.23', '20.6.4.0.4', '20.6.3.0.25', '20.6.5', '20.6.3.0.27', '20.9.2', '20.9.2.1', '20.6.3.0.29', '20.6.3.0.31', '20.6.3.0.32', '20.10.1', '20.6.3.0.33', '20.9.2.0.01', '20.9.1_LI_Images', '20.10.1_LI_Images', '20.9.2_LI_Images', '20.3.7', '20.9.3', '20.6.5.1', '20.11.1', '20.11.1_LI_Images', '20.9.3_LI_ Images', '20.6.3.1.1', '20.9.3.0.2', '20.6.5.1.2', '20.9.3.0.3', '20.4.2.3', '20.6.3.2', '20.6.4.1', '20.6.3.0.38', '20.6.3.0.39', '20.3.5.1', '20.3.4.3', '20.9.3.1', '20.3.3.2', '20.6.5.2', '20.3.7.1', '20.10.1.1', '20.6.5.2.1', '20.3.4.0.25', '20.6.2.2.4', '20.6.1.2', '20.11.1.1', '20.9.3.0.5', '20.3.4.0.26', '20.6.5.1.3', '20.6.3.0.40', '20.1.3.1', '20.9.2.2', '20.6.5.2.3', '20.6.5.1.4', '20.6.5.3', '20.6.3.0.41', '20.9.3.0.7', '20.6.5.1.5', '20.9.3.0.4', '20.6.4.0.19', '20.6.5.1.6', '20.9.3.0.8', '20.6.3.3', '20.3.7.2', '20.6.5.4', '20.6.5.1.7', '20.9.3.0.12', '20.6.4.2', '20.6.5.5', '20.9.3.2', '20.11.1.2', '20.6.3.4', '20.10.1.2', '20.6.5.1.9', '20.9.3.0.16', '20.6.3.0.45', '20.6.5.1.10', '20.9.3.0.17', '20.6.5.2.4', '20.6.4.0.21', '20.9.3.0.18', '20.6.3.0.46', '20.6.3.0.47', '20.9.2.3', '20.9.3.2_LI_Images', '20.9.3.0.21', '20.9.3.0.20', '20.9.4_LI_Images', '20.9.4', '20.6.5.1.11', '20.12.1', '20.12.1_LI_Images', '20.6.5.1.13', '20.9.3.0.23', '20.6.5.2.8', '20.9.4.1', '20.9.4.1_LI_Images', '20.9.3.0.25', '20.9.3.0.24', '20.6.5.1.14', '20.3.8', '20.6.6', '20.9.3.0.26', '20.6.3.0.51', '20.9.3.0.29', '20.12.2', '20.12.2_LI_Images', '20.6.6.0.1', '20.13.1_LI_Images', '20.9.4.0.4', '20.13.1', '20.9.4.1.1', '20.9.5', '20.9.5_LI_Images', '20.12.3_LI_Images', '20.12.3', '20.9.4.1.3', '20.6.7', '20.9.5.1', '20.9.5.1_LI_Images', '20.9.4.1.6', '20.14.1', '20.14.1_LI_Images', '20.9.5.2', '20.9.5.2.1', '20.9.5.2_LI_Images', '20.12.3.1', '20.12.4', '20.15.1_LI_Images', '20.15.1', '20.9.5.1.4', '20.9.5.2.7', '20.9.5.2.13', '20.9.6', '20.9.6_LI_Images', '20.9.5.2.14', '20.6.8', '20.12.4.0.03', '20.16.1', '20.16.1_LI_Images', '20.12.4_LI_Images', '20.9.5.2.16', '20.12.4.0.4', '20.12.401', '20.9.5.3', '20.9.5.3_LI_Images', '20.12.4.1_LI_Images', '20.12.4.1', '20.9.5.2.21', '20.9.6.0.3', '20.12.4.0.6', '20.15.2_LI_Images', '20.15.2', '20.12.4_Monthly_ES5', '20.12.5', '20.12.5_LI_Images', '20.9.7_LI _Images', '20.9.7', '20.15.3', '20.15.3_ LI _Images', '20.12.501', '20.12.5.1_LI_Images', '20.12.5.1', '20.12.5.2_LI_Images', '20.12.5.2', '20.15.3.1', '20.15.4_LI_Images', '20.15.4', '20.9.7.1_LI _Images', '20.9.7.1', '20.18.1', '20.18.1_LI_Images', '20.12.6_LI_Images', '20.12.6', '20.12.5.1.01', '26.0.1', '20.9.8', '20.9.8_LI_Images', '20.18.2', '20.15.4.1_LI_Images', '20.15.4.1', '20.18.2_LI_Images', '26.1.1', '26.1.1_LI_Images', '20.18.2.1_LI_Images', '20.18.2.1', '20.15.4.2_LI_Images', '20.15.4.2', '20.12.6.1', '20.12.6.1_LI_Images', '20.12.5.3', '20.12.5.3_LI_Images', '20.9.8.2_LI_Images', '20.9.8.2', '20.18.3', '20.18.3_LI_Images', '20.15.5', '20.15.5_LI_Images', '20.12.7', '20.12.7_LI_Images', '20.9.9', '20.9.9_LI_Images', '20.18.2.2', '20.18.2.2_LI_Images', '20.12.5.4', '20.12.5.4_LI_ Images', '20.12.7.1_LI_Images', '20.12.6.2_LI_Images', '20.12.7.1', '20.15.5.1', '20.15.4.3', '20.15.4.3_LI_Images', '20.15.5.1_LI_Images', '20.12.6.2', '20.15.5.2', '20.15.5.2_LI_Images', '26.1.1.1_LI_Images', '20.15.4.4', '20.15.4.4_LI_Images', '26.1.1.1', '20.9.9.1_LI_Images', '20.9.9.1']"
1,Multiples vulnérabilités dans les VPN Check Point (09 juin 2026),De multiples vulnérabilités ont été découvertes dans les VPN Check Point. Elles permettent à un attaquant de provoquer un contournement de la politique de sécurité. Check Point indique que la vulnérabilité CVE-2026-50751 est activement exploitée. La vulnérabilité CVE-2026-50751 affecte les...,https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0711/,"Tue, 09 Jun 2026 00:00:00 +0000",Multiples vulnérabilités dans les VPN Check Point (09 juin 2026),CVE-2026-50752,A weakness in the certificate validation logic of the deprecated IKEv1 key exchange may allow an unauthenticated attacker positioned as a man-in-the-middle to bypass certificate validation in VPN site-to-site connections that use certificate-based authentication. Successful exploitation could allow interception or modification of traffic traversing the VPN tunnel.,7.4,CWE-295,CWE-295: Improper Certificate Validation.,0.00031,checkpoint,Quantum Security Gateway,"['R82.10 with Jumbo Hotfix Take 19 or below', 'R82 with Jumbo Hotfix Take 103 or below', 'R81.20 with Jumbo Hotfix Take 141 or below', 'R81.10, R81, and R80.40']"
2,Multiples vulnérabilités dans les VPN Check Point (09 juin 2026),De multiples vulnérabilités ont été découvertes dans les VPN Check Point. Elles permettent à un attaquant de provoquer un contournement de la politique de sécurité. Check Point indique que la vulnérabilité CVE-2026-50751 est activement exploitée. La vulnérabilité CVE-2026-50751 affecte les...,https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0711/,"Tue, 09 Jun 2026 00:00:00 +0000",Multiples vulnérabilités dans les VPN Check Point (09 juin 2026),CVE-2026-50752,A weakness in the certificate validation logic of the deprecated IKEv1 key exchange may allow an unauthenticated attacker positioned as a man-in-the-middle to bypass certificate validation in VPN site-to-site connections that use certificate-based authentication. Successful exploitation could allow interception or modification of traffic traversing the VPN tunnel.,7.4,CWE-295,CWE-295: Improper Certificate Validation.,0.00031,checkpoint,Spark Firewalls,"['R80.20.X, R81.10.X, and R82.00.X']"
3,Multiples vulnérabilités dans les VPN Check Point (09 juin 2026),De multiples vulnérabilités ont été découvertes dans les VPN Check Point. Elles permettent à un attaquant de provoquer un contournement de la politique de sécurité. Check Point indique que la vulnérabilité CVE-2026-50751 est activement exploitée. La vulnérabilité CVE-2026-50751 affecte les...,https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0711/,"Tue, 09 Jun 2026 00:00:00 +0000",Multiples vulnérabilités dans les VPN Check Point (09 juin 2026),CVE-2026-50751,A logic flow weakness in Remote Access and Mobile Access certificate validation in deprecated IKEv1 key exchange allows an unauthenticated remote attacker to bypass user authentication and establish a remote access VPN connection without a valid user password.,Non disponible,CWE-287,CWE-287: Improper Authentication.,0.11841,checkpoint,Quantum Security Gateway,"['R82.10 with Jumbo Hotfix Take 19 or below', 'R82 with Jumbo Hotfix Take 103 or below', 'R81.20 with Jumbo Hotfix Take 141 or below', 'R81.10, R81, and R80.40']"
4,Multiples vulnérabilités dans les VPN Check Point (09 juin 2026),De multiples vulnérabilités ont été découvertes dans les VPN Check Point. Elles permettent à un attaquant de provoquer un contournement de la politique de sécurité. Check Point indique que la vulnérabilité CVE-2026-50751 est activement exploitée. La vulnérabilité CVE-2026-50751 affecte les...,https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0711/,"Tue, 09 Jun 2026 00:00:00 +0000",Multiples vulnérabilités dans les VPN Check Point (09 juin 2026),CVE-2026-50751,A logic flow weakness in Remote Access and Mobile Access certificate validation in deprecated IKEv1 key exchange allows an unauthenticated remote attacker to bypass user authentication and establish a remote access VPN connection without a valid user password.,Non disponible,CWE-287,CWE-287: Improper Authentication.,0.11841,checkpoint,Spark Firewalls,"['R80.20.X, R81.10.X, and R82.00.X']"
5,Vulnérabilité dans Veeam Backup & Replication (09 juin 2026),Une vulnérabilité a été découverte dans Veeam Backup & Replication. Elle permet à un attaquant de provoquer une exécution de code arbitraire à distance.,https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0712/,"Tue, 09 Jun 2026 00:00:00 +0000",Vulnérabilité dans Veeam Backup & Replication (09 juin 2026),CVE-2026-44963,A vulnerability allowing remote code execution (RCE) on the Backup Server by an authenticated domain user.,Non disponible,CWE-502,CWE-502 Deserialization of Untrusted Data,0.00586,Veeam,Backup and Replication,['0']
6,Vulnérabilité dans les produits Schneider Electric EcoStruxure IT Data Center Expert (09 juin 2026),Une vulnérabilité a été découverte dans les produits Schneider Electric EcoStruxure IT Data Center Expert. Elle permet à un attaquant de provoquer une atteinte à la confidentialité des données.,https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0713/,"Tue, 09 Jun 2026 00:00:00 +0000",Vulnérabilité dans les produits Schneider Electric EcoStruxure IT Data Center Expert (09 juin 2026),CVE-2026-8045,CWE-611 Improper Restriction of XML External Entity Reference vulnerability exists that could cause information disclosure of server-side file contents when an attacker with a Data Center Expert user account submits crafted XML payloads to SOAP service endpoints.,Non disponible,CWE-611,CWE-611 Improper restriction of XML external entity reference,0.00057,Schneider Electric,EcoStruxure™ IT Data Center Expert,['v9.1.1 and Prior']
7,Multiples vulnérabilités dans les produits Siemens (09 juin 2026),"De multiples vulnérabilités ont été découvertes dans les produits Siemens. Elles permettent à un attaquant de provoquer une exécution de code arbitraire à distance, un déni de service à distance et une atteinte à la confidentialité des données.",https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0714/,"Tue, 09 Jun 2026 00:00:00 +0000",Multiples vulnérabilités dans les produits Siemens (09 juin 2026),CVE-2025-40808,"A vulnerability has been identified in SIPROTEC 5 6MD84 (CP300) (All versions), SIPROTEC 5 6MD85 (CP200) (All versions), SIPROTEC 5 6MD85 (CP300) (All versions), SIPROTEC 5 6MD86 (CP200) (All versions), SIPROTEC 5 6MD86 (CP300) (All versions), SIPROTEC 5 6MD89 (CP300) (All versions), SIPROTEC 5 6MU85 (CP300) (All versions), SIPROTEC 5 7KE85 (CP200) (All versions), SIPROTEC 5 7KE85 (CP300) (All versions), SIPROTEC 5 7SA82 (CP100) (All versions), SIPROTEC 5 7SA82 (CP150) (All versions), SIPROTEC 5 7SA86 (CP200) (All versions), SIPROTEC 5 7SA86 (CP300) (All versions), SIPROTEC 5 7SA87 (CP200) (All versions), SIPROTEC 5 7SA87 (CP300) (All versions), SIPROTEC 5 7SD82 (CP100) (All versions), SIPROTEC 5 7SD82 (CP150) (All versions), SIPROTEC 5 7SD86 (CP200) (All versions), SIPROTEC 5 7SD86 (CP300) (All versions), SIPROTEC 5 7SD87 (CP200) (All versions), SIPROTEC 5 7SD87 (CP300) (All versions), SIPROTEC 5 7SJ81 (CP100) (All versions), SIPROTEC 5 7SJ81 (CP150) (All versions), SIPROTEC 5 7SJ82 (CP100) (All versions), SIPROTEC 5 7SJ82 (CP150) (All versions), SIPROTEC 5 7SJ85 (CP200) (All versions), SIPROTEC 5 7SJ85 (CP300) (All versions), SIPROTEC 5 7SJ86 (CP200) (All versions), SIPROTEC 5 7SJ86 (CP300) (All versions), SIPROTEC 5 7SK82 (CP100) (All versions), SIPROTEC 5 7SK82 (CP150) (All versions), SIPROTEC 5 7SK85 (CP200) (All versions), SIPROTEC 5 7SK85 (CP300) (All versions), SIPROTEC 5 7SL82 (CP100) (All versions), SIPROTEC 5 7SL82 (CP150) (All versions), SIPROTEC 5 7SL86 (CP200) (All versions), SIPROTEC 5 7SL86 (CP300) (All versions), SIPROTEC 5 7SL87 (CP200) (All versions), SIPROTEC 5 7SL87 (CP300) (All versions), SIPROTEC 5 7SS85 (CP200) (All versions), SIPROTEC 5 7SS85 (CP300) (All versions), SIPROTEC 5 7ST85 (CP200) (All versions), SIPROTEC 5 7ST85 (CP300) (All versions), SIPROTEC 5 7ST86 (CP300) (All versions), SIPROTEC 5 7SX82 (CP150) (All versions), SIPROTEC 5 7SX85 (CP300) (All versions), SIPROTEC 5 7SY82 (CP150) (All versions), SIPROTEC 5 7UM85 (CP300) (All versions), SIPROTEC 5 7UT82 (CP100) (All versions), SIPROTEC 5 7UT82 (CP150) (All versions), SIPROTEC 5 7UT85 (CP200) (All versions), SIPROTEC 5 7UT85 (CP300) (All versions), SIPROTEC 5 7UT86 (CP200) (All versions), SIPROTEC 5 7UT86 (CP300) (All versions), SIPROTEC 5 7UT87 (CP200) (All versions), SIPROTEC 5 7UT87 (CP300) (All versions), SIPROTEC 5 7VE85 (CP300) (All versions), SIPROTEC 5 7VK87 (CP200) (All versions), SIPROTEC 5 7VK87 (CP300) (All versions), SIPROTEC 5 7VU85 (CP300) (All versions), SIPROTEC 5 Compact 7SX800 (CP050) (All versions). The affected application allows authenticated users to upload arbitrary files using DIGSI 5 protocol. This could allow an attacker to upload malicious configuration files, that could cause denial of service condition and potentially lead to code execution.",6.1,CWE-434,CWE-434: Unrestricted Upload of File with Dangerous Type,0.00015,Siemens,SIPROTEC 5 6MD84 (CP300),['0']
8,Multiples vulnérabilités dans les produits Siemens (09 juin 2026),"De multiples vulnérabilités ont été découvertes dans les produits Siemens. Elles permettent à un attaquant de provoquer une exécution de code arbitraire à distance, un déni de service à distance et une atteinte à la confidentialité des données.",https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0714/,"Tue, 09 Jun 2026 00:00:00 +0000",Multiples vulnérabilités dans les produits Siemens (09 juin 2026),CVE-2025-40808,"A vulnerability has been identified in SIPROTEC 5 6MD84 (CP300) (All versions), SIPROTEC 5 6MD85 (CP200) (All versions), SIPROTEC 5 6MD85 (CP300) (All versions), SIPROTEC 5 6MD86 (CP200) (All versions), SIPROTEC 5 6MD86 (CP300) (All versions), SIPROTEC 5 6MD89 (CP300) (All versions), SIPROTEC 5 6MU85 (CP300) (All versions), SIPROTEC 5 7KE85 (CP200) (All versions), SIPROTEC 5 7KE85 (CP300) (All versions), SIPROTEC 5 7SA82 (CP100) (All versions), SIPROTEC 5 7SA82 (CP150) (All versions), SIPROTEC 5 7SA86 (CP200) (All versions), SIPROTEC 5 7SA86 (CP300) (All versions), SIPROTEC 5 7SA87 (CP200) (All versions), SIPROTEC 5 7SA87 (CP300) (All versions), SIPROTEC 5 7SD82 (CP100) (All versions), SIPROTEC 5 7SD82 (CP150) (All versions), SIPROTEC 5 7SD86 (CP200) (All versions), SIPROTEC 5 7SD86 (CP300) (All versions), SIPROTEC 5 7SD87 (CP200) (All versions), SIPROTEC 5 7SD87 (CP300) (All versions), SIPROTEC 5 7SJ81 (CP100) (All versions), SIPROTEC 5 7SJ81 (CP150) (All versions), SIPROTEC 5 7SJ82 (CP100) (All versions), SIPROTEC 5 7SJ82 (CP150) (All versions), SIPROTEC 5 7SJ85 (CP200) (All versions), SIPROTEC 5 7SJ85 (CP300) (All versions), SIPROTEC 5 7SJ86 (CP200) (All versions), SIPROTEC 5 7SJ86 (CP300) (All versions), SIPROTEC 5 7SK82 (CP100) (All versions), SIPROTEC 5 7SK82 (CP150) (All versions), SIPROTEC 5 7SK85 (CP200) (All versions), SIPROTEC 5 7SK85 (CP300) (All versions), SIPROTEC 5 7SL82 (CP100) (All versions), SIPROTEC 5 7SL82 (CP150) (All versions), SIPROTEC 5 7SL86 (CP200) (All versions), SIPROTEC 5 7SL86 (CP300) (All versions), SIPROTEC 5 7SL87 (CP200) (All versions), SIPROTEC 5 7SL87 (CP300) (All versions), SIPROTEC 5 7SS85 (CP200) (All versions), SIPROTEC 5 7SS85 (CP300) (All versions), SIPROTEC 5 7ST85 (CP200) (All versions), SIPROTEC 5 7ST85 (CP300) (All versions), SIPROTEC 5 7ST86 (CP300) (All versions), SIPROTEC 5 7SX82 (CP150) (All versions), SIPROTEC 5 7SX85 (CP300) (All versions), SIPROTEC 5 7SY82 (CP150) (All versions), SIPROTEC 5 7UM85 (CP300) (All versions), SIPROTEC 5 7UT82 (CP100) (All versions), SIPROTEC 5 7UT82 (CP150) (All versions), SIPROTEC 5 7UT85 (CP200) (All versions), SIPROTEC 5 7UT85 (CP300) (All versions), SIPROTEC 5 7UT86 (CP200) (All versions), SIPROTEC 5 7UT86 (CP300) (All versions), SIPROTEC 5 7UT87 (CP200) (All versions), SIPROTEC 5 7UT87 (CP300) (All versions), SIPROTEC 5 7VE85 (CP300) (All versions), SIPROTEC 5 7VK87 (CP200) (All versions), SIPROTEC 5 7VK87 (CP300) (All versions), SIPROTEC 5 7VU85 (CP300) (All versions), SIPROTEC 5 Compact 7SX800 (CP050) (All versions). The affected application allows authenticated users to upload arbitrary files using DIGSI 5 protocol. This could allow an attacker to upload malicious configuration files, that could cause denial of service condition and potentially lead to code execution.",6.1,CWE-434,CWE-434: Unrestricted Upload of File with Dangerous Type,0.00015,Siemens,SIPROTEC 5 6MD85 (CP200),['0']
9,Multiples vulnérabilités dans les produits Siemens (09 juin 2026),"De multiples vulnérabilités ont été découvertes dans les produits Siemens. Elles permettent à un attaquant de provoquer une exécution de code arbitraire à distance, un déni de service à distance et une atteinte à la confidentialité des données.",https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0714/,"Tue, 09 Jun 2026 00:00:00 +0000",Multiples vulnérabilités dans les produits Siemens (09 juin 2026),CVE-2025-40808,"A vulnerability has been identified in SIPROTEC 5 6MD84 (CP300) (All versions), SIPROTEC 5 6MD85 (CP200) (All versions), SIPROTEC 5 6MD85 (CP300) (All versions), SIPROTEC 5 6MD86 (CP200) (All versions), SIPROTEC 5 6MD86 (CP300) (All versions), SIPROTEC 5 6MD89 (CP300) (All versions), SIPROTEC 5 6MU85 (CP300) (All versions), SIPROTEC 5 7KE85 (CP200) (All versions), SIPROTEC 5 7KE85 (CP300) (All versions), SIPROTEC 5 7SA82 (CP100) (All versions), SIPROTEC 5 7SA82 (CP150) (All versions), SIPROTEC 5 7SA86 (CP200) (All versions), SIPROTEC 5 7SA86 (CP300) (All versions), SIPROTEC 5 7SA87 (CP200) (All versions), SIPROTEC 5 7SA87 (CP300) (All versions), SIPROTEC 5 7SD82 (CP100) (All versions), SIPROTEC 5 7SD82 (CP150) (All versions), SIPROTEC 5 7SD86 (CP200) (All versions), SIPROTEC 5 7SD86 (CP300) (All versions), SIPROTEC 5 7SD87 (CP200) (All versions), SIPROTEC 5 7SD87 (CP300) (All versions), SIPROTEC 5 7SJ81 (CP100) (All versions), SIPROTEC 5 7SJ81 (CP150) (All versions), SIPROTEC 5 7SJ82 (CP100) (All versions), SIPROTEC 5 7SJ82 (CP150) (All versions), SIPROTEC 5 7SJ85 (CP200) (All versions), SIPROTEC 5 7SJ85 (CP300) (All versions), SIPROTEC 5 7SJ86 (CP200) (All versions), SIPROTEC 5 7SJ86 (CP300) (All versions), SIPROTEC 5 7SK82 (CP100) (All versions), SIPROTEC 5 7SK82 (CP150) (All versions), SIPROTEC 5 7SK85 (CP200) (All versions), SIPROTEC 5 7SK85 (CP300) (All versions), SIPROTEC 5 7SL82 (CP100) (All versions), SIPROTEC 5 7SL82 (CP150) (All versions), SIPROTEC 5 7SL86 (CP200) (All versions), SIPROTEC 5 7SL86 (CP300) (All versions), SIPROTEC 5 7SL87 (CP200) (All versions), SIPROTEC 5 7SL87 (CP300) (All versions), SIPROTEC 5 7SS85 (CP200) (All versions), SIPROTEC 5 7SS85 (CP300) (All versions), SIPROTEC 5 7ST85 (CP200) (All versions), SIPROTEC 5 7ST85 (CP300) (All versions), SIPROTEC 5 7ST86 (CP300) (All versions), SIPROTEC 5 7SX82 (CP150) (All versions), SIPROTEC 5 7SX85 (CP300) (All versions), SIPROTEC 5 7SY82 (CP150) (All versions), SIPROTEC 5 7UM85 (CP300) (All versions), SIPROTEC 5 7UT82 (CP100) (All versions), SIPROTEC 5 7UT82 (CP150) (All versions), SIPROTEC 5 7UT85 (CP200) (All versions), SIPROTEC 5 7UT85 (CP300) (All versions), SIPROTEC 5 7UT86 (CP200) (All versions), SIPROTEC 5 7UT86 (CP300) (All versions), SIPROTEC 5 7UT87 (CP200) (All versions), SIPROTEC 5 7UT87 (CP300) (All versions), SIPROTEC 5 7VE85 (CP300) (All versions), SIPROTEC 5 7VK87 (CP200) (All versions), SIPROTEC 5 7VK87 (CP300) (All versions), SIPROTEC 5 7VU85 (CP300) (All versions), SIPROTEC 5 Compact 7SX800 (CP050) (All versions). The affected application allows authenticated users to upload arbitrary files using DIGSI 5 protocol. This could allow an attacker to upload malicious configuration files, that could cause denial of service condition and potentially lead to code execution.",6.1,CWE-434,CWE-434: Unrestricted Upload of File with Dangerous Type,0.00015,Siemens,SIPROTEC 5 6MD85 (CP300),['0']
